alias,activities,address,venue_id,venue_name,location_name,display_rating_total,display_rating_average
studio-three-river-north-arena-chicago,"Livestream HIIT,Strength Training,Livestream strength training,Livestream cycling,Cycling,Livestream yoga","Address(address_line0=null, address_line1=648 N Clark St, address_line2=null, city=Chicago, state=IL, zip_code=60654)",32208,Studio Three,River North,5000+,4.853454
zyn22-fort-worth,Cycling,"Address(address_line0=null, address_line1=3236 W 7th St, address_line2=null, city=Fort Worth, state=TX, zip_code=76107)",31084,ZYN22,Cultural District,5000+,4.874738
shred415-indianapolis-clay-township,"Rowing,Strength Training,Running","Address(address_line0=, address_line1=11503 Spring Mill Rd, address_line2=, city=Clay Township, state=IN, zip_code=46032)",38137,Shred415,Carmel,5000+,4.9112678
hype-silverlake-los-angeles,"Livestream HIIT,Yoga,Cycling","Address(address_line0=, address_line1=1932 Hyperion Ave, address_line2=, city=Los Angeles, state=CA, zip_code=90027)",38269,Hype,Silver Lake,5000+,4.862027
high-ride-cycle-highlands-denver,Cycling,"Address(address_line0=, address_line1= 1711 Sheridan Boulevard, address_line2=, city=Denver, state=CO, zip_code=80214)",36841,High Ride Cycle,West Highland,5000+,4.917997
soho-cycling-tampa,"Strength Training,Cycling","Address(address_line0=null, address_line1=2019 W Kennedy Blvd, address_line2=null, city=Tampa, state=FL, zip_code=33606)",30803,SOHO Cycling,North Hyde Park,5000+,4.87487
yoga-joint-downtown-fort-lauderdale,Yoga,"Address(address_line0=, address_line1=299 North Federal Highway, address_line2=, city=Fort Lauderdale, state=FL, zip_code=33301)",30921,Yoga Joint,Fort Lauderdale,5000+,4.915785
sweat-1000-houston,Strength Training,"Address(address_line0=, address_line1=725 West 18th Street, address_line2=, city=Houston, state=TX, zip_code=77008)",42337,SWEAT 1000,Greater Heights,5000+,4.915501
work-irvine,"Low-credit livestreams,Strength Training,Livestream strength training","Address(address_line0=null, address_line1=16782 Hale Ave, address_line2=Suite B, city=Irvine, state=CA, zip_code=92606)",30824,WORK,Irvine,5000+,4.920732
training-mate-studio-city-los-angeles,Strength Training,"Address(address_line0=null, address_line1=12429 Ventura Blvd, address_line2=null, city=Los Angeles, state=CA, zip_code=91604)",34369,Training Mate,Studio City,5000+,4.9453344
gritcycle-long-beach-lakewood,Cycling,"Address(address_line0=, address_line1=3850 Worsham Ave, address_line2=Suite 430, city=Lakewood, state=CA, zip_code=90808)",40679,GritCycle,Long Beach,5000+,4.920535
sweat-yoga-playa-vista-los-angeles,Yoga,"Address(address_line0=, address_line1=12105 E Waterfront Dr, address_line2=, city=Los Angeles, state=CA, zip_code=90094)",41339,sweat yoga,Playa Vista,5000+,4.897905
redbike-studio-brickell-miami,"Dance,Low-credit livestreams,Barre,Livestream strength training,Livestream cycling,Cycling","Address(address_line0=null, address_line1=1399 SW 1st Ave, address_line2=, city=Miami, state=FL, zip_code=33130)",24393,RedBike Studio,Brickell,5000+,4.8759613
training-mate-west-hollywood,Strength Training,"Address(address_line0=null, address_line1=7825 Santa Monica Blvd, address_line2=, city=West Hollywood, state=CA, zip_code=90046)",22781,Training Mate,West Hollywood,5000+,4.939819
hot-haven-san-diego,"Sauna,Sports recovery","Address(address_line0=, address_line1=521 Grape Street, address_line2=, city=San Diego, state=CA, zip_code=92101)",55447,HOT HAVEN,Golden Hill,1000+,4.92437
full-psycle-jacksonville-harbour-village,Cycling,"Address(address_line0=, address_line1=13475 Atlantic Boulevard, address_line2=Suite 7, city=Jacksonville, state=FL, zip_code=32225)",42209,Full Psycle,,5000+,4.9157333
seek-studio-salt-lake-city,"Yoga,Strength Training,Cycling","Address(address_line0=, address_line1=1790 1100 E, address_line2=, city=Salt Lake City, state=UT, zip_code=84105)",37340,Seek Studio,Central City,5000+,4.8647614
barrys-venice-los-angeles,"Strength Training,Running,Outdoors","Address(address_line0=, address_line1=1500 South Lincoln Blvd, address_line2=Venice, city=Los Angeles, state=CA, zip_code=90291)",36616,Barry's,Venice,5000+,4.899605
sparkcycle-liberty-station-san-diego,Cycling,"Address(address_line0=, address_line1=2835 Perry Rd, address_line2=, city=San Diego, state=CA, zip_code=92106)",36877,SPARKCYCLE,Point Loma,5000+,4.9067707
chs-revolution-charleston,Cycling,"Address(address_line0=, address_line1=441 Meeting Street, address_line2=Suite A, city=Charleston, state=SC, zip_code=29401)",45828,CHS Revolution,,5000+,4.862971
gritcycle-anaheim-hills,Cycling,"Address(address_line0=, address_line1=5645 E La Palma Ave, address_line2=#160, city=Anaheim, state=CA, zip_code=92807)",40667,GritCycle,Anaheim,5000+,4.8807197
sculpthouse-buckhead-atlanta,"Rowing,Pilates,Strength Training","Address(address_line0=null, address_line1=3167 Peachtree Rd, address_line2=Suite Q, city=Atlanta, state=GA, zip_code=30305)",34821,SculptHouse,Buckhead,5000+,4.895478
the-forum-athletic-club-midtown-atlanta,"Gym Time,Boxing,Pilates,Strength Training","Address(address_line0=null, address_line1=675 Ponce De Leon Ave NE, address_line2=Suite E179, city=Atlanta, state=GA, zip_code=30308)",34619,The Forum Athletic Club,Midtown,5000+,4.918849
define-jacksonville-jacksonville-beach,"Barre,Yoga,Cycling","Address(address_line0=, address_line1=1854 3rd Street South, address_line2=, city=Jacksonville Beach, state=FL, zip_code=32250)",44739,DEFINE: Jacksonville,,5000+,4.926451
black-swan-yoga-san-antonio,Yoga,"Address(address_line0=, address_line1=914 East Elmira Street, address_line2=, city=San Antonio, state=TX, zip_code=78212)",42613,Black Swan Yoga,Tobin Hill,5000+,4.8497844
sweat-society-buffalo,"Gym Time,Strength Training,Running","Address(address_line0=, address_line1=1376 Hertel Avenue, address_line2=, city=Buffalo, state=NY, zip_code=14216)",44979,[Sweat] Society,,5000+,4.915243
rise-nation-cleveland,Strength Training,"Address(address_line0=, address_line1=1026 Euclid Avenue, address_line2=, city=Cleveland, state=OH, zip_code=44115)",43083,Rise Nation,,5000+,4.897176
transform-colorado-denver,"Low-credit livestreams,Livestream HIIT,Pilates,Strength Training,Cycling","Address(address_line0=, address_line1=1840 15th St, address_line2=, city=Denver, state=CO, zip_code=80202)",36019,TransFORM Colorado,LoDo,5000+,4.90323
revived-iv-therapy-houston,"Sauna,Sports recovery","Address(address_line0=, address_line1=River Oaks, 3339 W Lamar St, address_line2=, city=Houston, state=TX, zip_code=77019)",51380,Revived IV Therapy,Montrose,1000+,4.887037
cyclebar-greenville,Cycling,"Address(address_line0=, address_line1=307 East McBee Avenue, address_line2=, city=Greenville, state=SC, zip_code=29601)",57361,CycleBar,,1000+,4.9102693
full-circle-yoga-winter-park,"Low-credit livestreams,Yoga","Address(address_line0=, address_line1=972 Orange Avenue, address_line2=, city=Winter Park, state=FL, zip_code=32789)",26332,Full Circle Yoga,Winter Park,5000+,4.8896575
restore-cryosauna-wayne,Cryotherapy,"Address(address_line0=, address_line1=205 West Lancaster Avenue, address_line2=#3, city=Wayne, state=PA, zip_code=19087)",45542,Restore Cryosauna,Wayne,100+,4.905063
black-swan-yoga-south-austin,Yoga,"Address(address_line0=null, address_line1=4534 West Gate Blvd, address_line2=null, city=Austin, state=TX, zip_code=78745)",30221,Black Swan Yoga,Westgate,5000+,4.838076
corepower-yoga-trolley-square-salt-lake-city,Yoga,"Address(address_line0=, address_line1=602 E 500 S, address_line2=, city=Salt Lake City, state=UT, zip_code=84102)",37836,CorePower Yoga,Central City,5000+,4.839806
circuit-works-santa-monica,"Low-credit livestreams,Strength Training,Yoga,Running","Address(address_line0=null, address_line1=2005 Main St, address_line2=, city=Santa Monica, state=CA, zip_code=90405)",23977,Circuit Works,Santa Monica,5000+,4.898521
mobcycle-portland,Cycling,"Address(address_line0=null, address_line1=535 NE 28th Ave, address_line2=null, city=Portland, state=OR, zip_code=97232)",34813,MobCycle,Northeast,5000+,4.862378
central-cycling-saint-petersburg,Cycling,"Address(address_line0=null, address_line1=2055 Central Ave, address_line2=null, city=Saint Petersburg, state=FL, zip_code=33713)",36077,Central Cycling,St. Petersburg,5000+,4.9166393
session-pilates-lakewood-dallas,Pilates,"Address(address_line0=, address_line1=6465 E Mockingbird Ln, address_line2=, city=Dallas, state=TX, zip_code=75214)",41638,SESSION Pilates,Lakewood,5000+,4.912374
renegade-fitcamp-hillcrest-san-diego,Strength Training,"Address(address_line0=, address_line1=440 W Washington St, address_line2=, city=San Diego, state=CA, zip_code=92103)",39884,Renegade Fitcamp,Hillcrest,5000+,4.948377
session-pilates-uptown-dallas,Pilates,"Address(address_line0=null, address_line1=3121 N Fitzhugh Ave, address_line2=null, city=Dallas, state=TX, zip_code=75204)",35372,SESSION Pilates,Lower Greenville / Knox-Henderson,5000+,4.905379
shred415-millcreek-salt-lake-city,Strength Training,"Address(address_line0=, address_line1=3142 S Highland Dr., address_line2=, city=Salt Lake City, state=, zip_code=84106)",67331,Shred415,Millcreek,1000+,4.9294605
barrys-atlanta,"Strength Training,Running","Address(address_line0=, address_line1=303 East Paces Ferry Rd NE, address_line2=, city=Atlanta, state=GA, zip_code=30305)",39907,Barry's,Buckhead,5000+,4.894073
bunda-los-angeles,Strength Training,"Address(address_line0=, address_line1=8231 W 3rd St, address_line2=, city=Los Angeles, state=CA, zip_code=90048)",40344,Bunda,West Hollywood,5000+,4.897567
zenergy-cycling-pittsburgh,"Low-credit livestreams,Cycling","Address(address_line0=, address_line1=6139 Spirit St, address_line2=, city=Pittsburgh, state=PA, zip_code=15206)",39946,Zenergy Cycling,Shadyside,5000+,4.9090123
love-cycling-studio-austin,Cycling,"Address(address_line0=, address_line1=507 Pressler Street, address_line2=Suite 900, city=Austin, state=TX, zip_code=78703)",63940,Love Cycling Studio,Clarksville,5000+,4.874842
