alias,activities,address,venue_id,venue_name,location_name,display_rating_total,display_rating_average
yummy-mummy-group-training-modbury,Strength Training,"Address(address_line0=null, address_line1=976 North East Rd, address_line2=Westfield Tea Tree Plaza, city=Modbury, state=SA, zip_code=5092)",32708,Yummy Mummy Group Training,Modbury,0,0.0
peak-physique-hot-yoga-modbury,"Pilates,Yoga","Address(address_line0=, address_line1=97-105 Smart Road, address_line2=, city=Modbury, state=, zip_code=5092)",83140,Peak Physique Hot Yoga Modbury,Modbury,0,0.0
crossfit-down-under-holden-hill,Strength Training,"Address(address_line0=Unit 5/, address_line1=30 Jacobsen Cres, address_line2=null, city=Holden Hill, state=SA, zip_code=5088)",32712,CrossFit Down Under,Holden Hill,6,4.1666665
fuzzys-power-gym-welland,Gym Time,"Address(address_line0=null, address_line1=3/2 Barrpowell St, address_line2=null, city=Welland, state=SA, zip_code=5007)",32458,Fuzzy's Power Gym,Welland,0,0.0
hot-yoga-life-north-adelaide,Yoga,"Address(address_line0=Level 4, address_line1=21/39 Melbourne St, address_line2=Within Adelaide Meridian Hotel, city=North Adelaide, state=SA, zip_code=5006)",32366,Hot Yoga Life,North Adelaide,0,0.0
endota-spa-rundle-mall-adelaide,"Facial,Massage,Sports recovery","Address(address_line0=null, address_line1=Adelaide Central Plaza, Level 1, 100 Rundle Mall, address_line2=null, city=Adelaide, state=null, zip_code=5000)",85350,endota spa,North Adelaide,0,0.0
yummy-mummy-group-training-beulah-park,Strength Training,"Address(address_line0=null, address_line1=Mellor Reserve, address_line2=Meet on Brand Street, city=Beulah Park, state=SA, zip_code=5067)",32711,Yummy Mummy Group Training,Beulah Park,0,0.0
yummy-mummy-group-training-fullarton-myrtle-bank,Strength Training,"Address(address_line0=Scammell Reserve, address_line1=1 Culross Ave, address_line2=Fullarton Scout Hall, city=Myrtle Bank, state=SA, zip_code=5064)",32709,Yummy Mummy Group Training,Myrtle Bank,0,0.0
embody-hot-yoga-ascot-park,Yoga,"Address(address_line0=, address_line1=687 Marion Road, address_line2=, city=Ascot Park, state=, zip_code=5043)",83077,Embody Hot Yoga,Ascot Park,0,0.0
skillfulmind-adelaide-brighton,Yoga,"Address(address_line0=, address_line1=Complete Wellbeing - Front room29 Jetty Rd, address_line2=, city=Brighton, state=, zip_code=5048)",56992,Skillfulmind,,0,0.0
skillfulmind-woodcroft-belair,Yoga,"Address(address_line0=, address_line1=5 Burnell Dr , address_line2=, city=Belair, state=, zip_code=5052)",56999,Skillfulmind ,Myrtle Bank,0,0.0
skillfulmind-moana,Yoga,"Address(address_line0=Moana Pioneer Hall  , address_line1=Nashwauk Cres, address_line2=, city=Moana, state=, zip_code=5169)",57002,Skillfulmind,,1,4.0
skillfulmind-aldinga-beach-willunga,Yoga,"Address(address_line0=, address_line1=Studio Soul Space2 High St, address_line2=, city=Willunga, state=, zip_code=5172)",56996,Skillfulmind ,,0,0.0
precision-fitness-247-infrared-sauna-brisbane,Sauna,"Address(address_line0=null, address_line1=15/1029 Manly Road, Tingalpa, address_line2=null, city=Brisbane, state=null, zip_code=4174)",85211,Precision Fitness 24/7,Brisbane City,0,0.0
chiropractic-and-yoga-alignment-helensvale,Yoga,"Address(address_line0=, address_line1=39 Laurel Drive, address_line2=, city=Helensvale, state=, zip_code=4212)",46521,Chiropractic and Yoga Alignment,,1,5.0
reiki-intuitive-healing-and-life-guidance-burleigh-heads,Meditation,"Address(address_line0=null, address_line1=19 Ewart Street, address_line2=null, city=Burleigh Heads, state=null, zip_code=4220)",85872,"Reiki, Intuitive Healing & Life Guidance",,0,0.0
