dog-house-fitness-london,"Boxing,Cycling","Address(address_line0=, address_line1=23 Harberson Rd, address_line2=, city=London, state=, zip_code=SW12 9QX)",37518,Dog House Fitness,Balham,5000+,4.678182
young-ldn-london,"Facial,Pedicure,Manicure","Address(address_line0=null, address_line1=228 Westbourne Grove, address_line2=null, city=London, state=null, zip_code=W11 2RH)",63053,Young LDN,Notting Hill,100+,4.7989554
crossfit-db-madrid,"Low-credit livestreams,Yoga,Strength Training,Livestream strength training","Address(address_line0=null, address_line1=3 Calle de los Dos Amigos, address_line2=null, city=Madrid, state=null, zip_code=28015)",61478,CrossFit db,,1000+,4.9120975
osterbro-hot-yoga-studio-copenhagen,Yoga,"Address(address_line0=, address_line1=13 Nordre Frihavnsgade, address_line2=, city=Copenhagen, state=, zip_code=2100)",56430,Osterbro Hot Yoga Studio,,1000+,4.75
velo-cycle-studio-at-lovelee-leidseplein-amsterdam,Cycling,"Address(address_line0=, address_line1=Lijnbaansgracht 238, address_line2=, city=Amsterdam, state=, zip_code=1017 PH)",52199,Velo Cycle Studio,,5000+,4.677256
thai-zen-geneva,Massage,"Address(address_line0=, address_line1=67 Rue de Lyon, address_line2=, city=Geneva, state=, zip_code=1203)",57190,Thai Zen,,100+,4.8179107
digme-fitness-richmond,Cycling,"Address(address_line0=, address_line1=23 Sheen Rd, address_line2=, city=Richmond, state=, zip_code=TW9 1BN)",34833,Digme Fitness,Richmond,5000+,4.7635818
oncore-london,"Livestream HIIT,Strength Training,Yoga,Livestream strength training,Cycling,Livestream yoga","Address(address_line0=, address_line1=65 Clapham Park Rd, address_line2=, city=London, state=, zip_code=SW4 7EE)",32576,Oncore,Clapham,5000+,4.6579885
boom-cycle-battersea-london,Cycling,"Address(address_line0=Please refer to 'how to get there' for the studio's location, address_line1=Arches Lane, address_line2=, city=London, state=, zip_code=SW11 8AB)",39171,Boom Cycle,Battersea,5000+,4.733597
metabolic-london,"Free livestreams,Strength Training,Livestream strength training","Address(address_line0=Greater London House, address_line1=Hampstead Rd, address_line2=, city=London, state=, zip_code=NW1 7FB)",36734,Metabolic London,Camden Town,5000+,4.848263
gong-london,"Livestream meditation,Low-credit livestreams,Meditation","Address(address_line0=, address_line1=45-47 Clerkenwell Rd, address_line2=Flat 5, city=London, state=, zip_code=EC1M 5RS)",46820,GONG,Farringdon,1000+,4.7956796
fly-ldn-london,"Barre,Yoga,Strength Training","Address(address_line0=, address_line1=24 Creechurch Ln, address_line2=, city=London, state=LND, zip_code=EC3A 5EH)",40032,FLY LDN,Liverpool Street,5000+,4.7846274
digme-fitness-bank-london,"Yoga,Cycling","Address(address_line0=, address_line1=40 Coleman St, address_line2=, city=London, state=, zip_code=EC2R 5EH)",39757,Digme Fitness,Bank,5000+,4.7042665
acupuncture-in-lisbon-lisboa,Acupuncture,"Address(address_line0=, address_line1=Rua Eduardo Coelho 52, 5E, address_line2=, city=Lisboa, state=, zip_code=1100-044)",67543,Acupuncture in Lisbon,,86,4.9418607
core40-centrum-amsterdam,"Pilates,Outdoors","Address(address_line0=, address_line1=Weteringschans 130-132, address_line2=, city=Amsterdam, state=, zip_code=1017 XV)",61178,CORE40 ,,5000+,4.7022424
underground-amsterdam,"Boxing,Strength Training,Outdoors","Address(address_line0=, address_line1=Nieuwe Kerkstraat 5, address_line2=, city=Amsterdam, state=, zip_code=1018 DW)",51539,Underground,,5000+,4.7389407
core-collective-st-johns-wood-london,Strength Training,"Address(address_line0=, address_line1=47-51, St John's High Street, address_line2=, city=London, state=, zip_code=NW8 7NJ)",62689,Core Collective,Camden Town,5000+,4.738936
the-foundry-bank-london,Strength Training,"Address(address_line0=, address_line1=Plough Court 33-36 Lombard St, address_line2=, city=London, state=, zip_code=EC3V 9BQ)",57132,The Foundry ,Bank,5000+,4.8320208
altromondo-yoga-stermalm-stockholm,Yoga,"Address(address_line0=, address_line1=Grev Turegatan 18 , address_line2=, city=Stockholm, state=, zip_code=114 46)",63149,Altromondo Yoga,,1000+,4.6855154
reburn-studio-barcelona,Strength Training,"Address(address_line0=, address_line1=Carrer d'Amigó, 14-16, address_line2=, city=Barcelona, state=, zip_code=08021)",62255,Reburn Studio,,1000+,4.892922
perea-clinic-london-xhms,Meditation,"Address(address_line0=, address_line1=80-82 White Lion Street  Unit 1, address_line2=, city=London, state=, zip_code=N1 9PF)",50573,Perea Clinic,Angel,500+,4.8509173
core-collective-knightsbridge-london,"Pilates,Strength Training,Yoga","Address(address_line0=, address_line1=23 Pavilion Road, address_line2=, city=London, state=, zip_code=SW1X 0HD)",46934,Core Collective,Knightsbridge,5000+,4.822638
kc-move-studio-kineticode-pilates-amsterdam,"Barre,Pilates,Livestream pilates,Outdoors","Address(address_line0=, address_line1=93A Rozengracht, address_line2=, city=Amsterdam, state=, zip_code=1016 LT)",52379,K/C Move Studio,,5000+,4.6915946
